sample,Video Title,Video URL,Publish Date,Video Category,Comment,H/NH,Target Group,Hate Category,explanation
1,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,উপস্থাপিকার চুলকানি বেশি,H,Female,Personal Offence,"উপস্থাপিকার ব্যক্তিগত বিষয় নিয়ে খারাপ মন্তব্য করা হয়েছে, যার মাধ্যমে তাকে সামাজিকভাবে হেয় করা হয়েছে।"
2,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইভানা ও কোন দিক দিয়ে সুন্দরী ওর কোন চেহারা হইলো,H,Female,Body Shaming,"'কোন চেহারা হইলো' বলার মাধ্যমে সরাসরি সৌন্দর্যের অভাব নিয়ে মন্তব্য করা হয়েছে, আচরণটি বডি শেমিংয়ের অংশ।"
3,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ইভানা মাইয়াডার যে চেহারা ও এই চেহারা নিয়ে নাইকা হয় কি করে,H,Female,Body Shaming,"ইভানার চেহারা নিয়ে সরাসরি মন্তব্য করা হয়েছে, বাক্তব্যটি শারীরিক গঠনকে কেন্দ্র করে বডি শেমিংয়ের উদাহরণ। এই ধরনের মন্তব্য একজন ব্যক্তির আত্মবিশ্বাস এবং সমাজে তার গ্রহণযোগ্যতা কমিয়ে দেয়।"
4,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"এগুলা চিনলে কোন ধোন হবে ভাই,,,ভাল কিছু করেন,,,ছামার পোলাপান",H,"Male,Female",Abusive/Violence,"অশ্লীল শব্দ ব্যবহার করে চরম ঘৃণা ও বিদ্বেষ প্রকাশ করা হয়েছে, বাক্তব্যটি সরাসরি আক্রমণাত্মক।"
5,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,"ইবানের বিছি গেসে,,😂😂",H,"Male,Female",Gender,"এখানে ""বিছি গেসে"" কথাটি ব্যবহার করে সরাসরি লিঙ্গীয় পরিচয়কে ইঙ্গিত করা হয়েছে, উক্তিটি একটি অপমানজনক এবং আক্রমণাত্মক মন্তব্য। এই ধরনের ভাষা ব্যবহার করে ব্যক্তির লিঙ্গীয় পরিচয়কে হেয় করা হয়।"
6,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,মেয়েদের বুদ্ধি যে হাঁটুর নিচে এই ভিডিওটা না দেখলে বুঝতে পারতাম না,H,Female,Gender,"নারীদের বুদ্ধি কম, এমন একটি প্রচলিত কুসংস্কারমূলক ধারণা প্রকাশ করা হয়েছে, যার মাধ্যমে নারীদের প্রতি চরম লিঙ্গবৈষম্যমূলক এবং অবমাননাকর।"
7,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,উপস্থাপিকা বেসি কথা বলে তোর কাজ প্রশ্ন করা৷৷ বলার প্রয়োজন নেই কে কি করে,H,Female,Personal Offence,উপস্থাপিকার কাজ নিয়ে মন্তব্য করে তাকে ব্যক্তিগতভাবে আক্রমণ করা হয়েছে এবং তার কথা বলার অধিকারকে খাটো করা হয়েছে। এর মাধ্যমে তাকে হেয় প্রতিপন্ন করা হয়েছে।
8,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,মেয়েদের আরো সহজ করে দিলেও পারবে না বাল,H,Female,Gender,"নারীদের সক্ষমতা নিয়ে চরম অবজ্ঞা প্রকাশ করা হয়েছে এবং ""বাল"" শব্দ ব্যবহার করে মন্তব্যটিকে অশ্লীল ও আক্রমণাত্মক করা হয়েছে। এই কারণে এটি লিঙ্গবিদ্বেষপূর্ণ।"
9,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,ওরা চিনবে শুধু সুগার ড্যাডী,H,Female,Gender,"নারীদের প্রতি ইঙ্গিত করে ""সুগার ড্যাডি""র সাথে সম্পর্ক আছে বলাতে, তাদের ব্যক্তিত্ব ও সম্মানকে ছোট করা হয়েছে, উক্তিটি একটি লিঙ্গভিত্তিক বিদ্বেষপূর্ণ মন্তব্য।"
10,ছবি দেখে কাকে চিনলেন আর কাকে চিনলেন না পলাশ-ইভানা | Palash | Evana | Channel 24,https://youtube.com/watch?v=PDMYE8L61EU,13-02-2024,Entertainment,বানরের মতো লাগতাছে ইভানাকে,H,Female,Body Shaming,"""বানরের মতো লাগতাছে"" বলার মাধ্যমে শারীরিক বৈশিষ্ট্য নিয়ে তুলনা করে কুরুচিপূর্ণ মন্তব্য করা হয়েছে, মন্তব্যটি বডি শেমিংয়ের উদাহরণ।"
