image,Text,Label,Hate Categories,Targeted Groups
meme_1.jpg,"ভাবি আজ পর্যন্ত আপনি কতজনেরটা নিয়েছেন?
এই ধরুন 4-5, 2 এই গ্রামে আর 2 ওই গ্রামে।
কিন্তু যে মজা নিজের রাজুতে, সেটা কারো মধ্যে নেই!",Non Hate,,
meme_2.jpg,"চাকরিটা আমি পেয়ে গেছি বেলা শুনছো?
তুমি ফোনটা রাখো, এখন স্বামীকে নিয়ে ব্যাঙ্কে যাবো পেনশনের টাকা তুলতে",Non Hate,,
meme_3.jpg,"দাদু, কনডম কী ?
আমি জানি না
আমি জানি দাদু, তুমি জানো না। আজ তুমি জানলে পড়ে তোমার সম্পত্তির 14 টা ভাগ হতো না",Hate,Personal Offence,Community
meme_4.jpg,খেয়ে ছেড়ে দেবে না তো? না! রেখে রেখে সারাজীবন খাবো,Non Hate,,
meme_5.jpg,জানো পিছন থেকে দেখেই আমি তোমাকে চিনে ফেলেছিলাম কীভাবে?কারণ তোমার পোদ চুলকানোর অভ্যাস যে এখনো যায়নি,Hate,Abusive,Individual
meme_6.jpg,"আম্মু আমার কোন হাতটা বড়?
কেন বাবু তোমার দুটো হাত-ই সমান!!
তাহলে স্কুলের Mem যে বললো কাল বড় হাতের ABCD লিখে আনতে?",Non Hate,,
meme_7.jpg,তোমাকে না একটা জিনিস আনতে বলেছি এনেছো হ্যাঁ এনেছি এই নেওওইটা আমার লাগবে না তোমারি লাগবে,Non Hate,,
meme_8.jpg,তোমার সাথে আমারেই মানাইতো কিন্তু তোমার তো চয়েস ভালো না ,Non Hate,,
meme_9.jpg,"বউ, নতুন চাল কেমন? একদম আপনার ছেলের মতো। কীভাবে? উঠতেই সেদ্ধ হয়ে যায় আর জল ছেড়ে দেয়, সঙ্গে সঙ্গেই নামাতে হয়!",Hate,Personal Offence,Individual
meme_10.jpg,পাড়ার লোকজন আমার উন্নতি,Non Hate,,
meme_11.jpg,"চা করি? করো! আদা দেবো? Love দাও! con গোলমরিচ দেবো? হ্যাঁ, দাও! তুলসী পাতা দেই? শুনেছি খুব উপকারী! সঙ্গে পেঁয়াজ, লঙ্কা, জিরে সব দাও। ভাত দিয়ে খেয়ে নেবো।",Non Hate,,
meme_12.jpg,"কাকে বিশ্বাস করবো, নিজের মা সকাল ৮ টায় ডাক দিয়ে বলে ১১ টা বাজে! ",Non Hate,,
meme_13.jpg,"শিক্ষক: ঘামাচি কাকে বলে?
ছাত্রী: ঘামের বাচ্চাকে ঘামাচি বলে স্যার।
শিক্ষক: হতচ্ছাড়া এই শিখেছো
ছাত্রী:কেনো স্যার, ব্যাঙের বাচ্চা কে যদি ব্যাঙাচি বলে, তাহলে এটা হবেনা কেনো?",Hate,Abusive,Individual
meme_14.jpg,পৃথিবীর এমন কোনো জায়গা নেই যেখানে আমি যাইনি কোনো দিন শ্বশুর বাড়ি গিয়েছিস,Hate,Personal Offence,Individual
meme_15.jpg,"এই রাখো রাখো, বৌদি খুব চেঁচাচ্ছে তোমার দাদা তো খুব দুষ্টু. আরে গান্ডু, আমায় খাবার খেতে ডাকছে",Hate,Abusive,Individual
meme_16.jpg,সারাদিন ফোন না একটু পড়াশোনাও তো করতে পারিস Me পড়িতো মা! কোথায় পড়িস?? কি পড়িস? GF এর ম্যাসেজ,Non Hate,,
meme_17.jpg,"ডার্লিং, তুমি জাঙ্গিয়া কেন পর না.? আমি নিজের স্বামীকে কথা দিয়েছি যে..শুধু ওর ছাড়া কারো সামনে নিজের জাঙ্গিয়া খুলবো না ।।",Hate,Personal Offence,Individual
meme_18.jpg,আমার ছেলেকে তুই বেবি বলে ডাকিস কেন? ছেলে আপনার কিন্তু বাচ্চা আমার কেনো তুই জন্ম দিয়েছিস তাকে? না কিন্তু দুধ তো আমিও খাওয়াই ওকে ...,Hate,Personal Offence,Individual
meme_19.jpg,"বাবু গাড়ি থামাও, করবো আরে গাড়িতে কিভাবে করবো আমি করার কথা বলেছি",Hate,Abusive,Individual
meme_20.jpg,"আজ শনিবার, এর মানে কি বুঝতে পারছো দয়া? না, কি স্যার? এর মানে কাল রবিবার।",Non Hate,,
meme_21.jpg,"শুনছো, জানালায় একটা পর্দা লাগাতে হবে.. কেনো? কি হয়েছে? পাশের বাড়ির ছেলেটা আজকাল খুব ঝাড়ি মারছে.. একদিন ভালো করে দর্শন দিও, জীবনে আর ফিরে তাকাবে না",Non Hate,,
meme_22.jpg,"চলো না, আমি তোমারটা খাই, তুমি আমারটা T কিসব উল্টোপাল্টা বকছো ! আরে, আমিতো লুডোর ঘুঁটির কথা বলছিলাম",Non Hate,,
meme_23.jpg,আর একবার হবে নাকি? আরো একবার করতে হলে ওটার জায়গায় আমার আত্মা বেরিয়ে আসবে,Non Hate,,
meme_24.jpg,বাসা কোথায়? ব্রাহ্মণবাড়িয়া সত্যিইই? হ্যা... বানান করো... আমরা এখন ঢাকা থাকি,Non Hate,,
meme_25.jpg,সত্যিকারের ভালোবাসা থাকলে আর কি চাই? একটা খালি রুম,Non Hate,,
meme_26.jpg,নদী ভরা ঢেউ ভালোবেসে ললিপপ দিল না তো কেউ...,Non Hate,,
meme_27.jpg,"বস, আমাকে রোজ কত ঘণ্টা বসতে হবে? তুমি নিজেই ভাবো যে আমার পাশের কেবিনে... 10 ঘণ্টা বসবে নাকি আমার ঘণ্টায় বসবা 10 মিনিট?",Non Hate,,
meme_28.jpg,আরেকবার খেলা হয়ে যাক.... আর হবে না.... পেট্রোল শেষ,Non Hate,,
meme_29.jpg,"এই রাখো রাখো, বৌদি খুব চেঁচাচ্ছে তোমার দাদা খুর দুষ্টু আরে গুন্ডু, আমায় খাবার খেতে ডাকছে",Hate,Abusive,Individual
meme_30.jpg,"কি রে বান্ধবী তোর ফুলশয্যা কেমন কাটলো? আর বলিস না, প্রথমে কয়েকবার মিসকল দিল, তারপর যখন কল ঢুকলো তখন ব্যালেন্স শেষ..!",Non Hate,,
meme_31.jpg,পিংকি কে বিয়ে করছি বাসর রাতে দেখি তার সব কালো,Hate,Personal Offence,Individual
meme_32.jpg,"বাথরুমে গাজর কেনো পরে আছে? তুমি যে শ্যাম্পু ফেলে আসো, আমি তখন কিছু বলি?",Non Hate,,
meme_33.jpg,"কেমন চলছে চাকরিওয়াল জীবন...? অনেক বেকার, পুরোদিন 'Yes Sir' করতে থাকি আর... পুরোরাত ""Ohh Yeah Sir"" করতে থেকে যায়।।",Non Hate,,
meme_34.jpg,GF : Bye আম্মু চিলাইতাছে BF : আব্বুকে বলো আস্তে দিতে,Non Hate,,
