Text,Label,Political,Religious,Gender,Personal Offense,Abusive/Violence,Origin,Body Shaming,Misc,bangla,english
Dakha mon tah vorah galoh... ❤❤🎉🎉🎉,0,0,0,0,0,0,0,0,0,দেখা মন টা ভোরা গেল...❤❤🎉🎉🎉, The mind of seeing...❤❤🎉🎉🎉
BGB er moton ei gulare Chakritheke obbahoti deya hook,0,0,0,0,0,0,0,0,0,বিজিবি এর মত এই গুলারে চক্রকে বাধা দেয়া হোক, These guys like BGB should be stopped.
"Or 2 hat kata hok  
Awamiliger ekta kormio jeno jibito na thake",0,0,0,0,0,0,0,0,0,অর ২ হাত কাটা হোক আওয়ামী লীগের একটা কাজিও যাতে জীবিত না থাকে, Let her two hands be cut so that no Awami League worker is alive
Janwar ta k dore bichar kora hok🤬🤬,1,0,0,0,0,1,0,0,0,জানাওয়ার টা কে ধরে বিচার করা হোক🤬🤬, Take Janawar and judge him.🤬🤬
shorkar er podotag to Pura Bangladesh chai. 18 crore manushe jail e dhukabe?,0,0,0,0,0,0,0,0,0,সরকার এর পোডোটাগ তো পুরা বাংলাদেশ চাই। ১৮ কোটি মানুষকে জেল এ ঢুকাবে?," The government's podotag wants a whole Bangladesh, 18 million people in jail?"
lathi hate tule neya dorkar silo age otodur obdi jaite parto na chata league ebar khela hbe,0,0,0,0,0,0,0,0,0,লাঠি হাতে তুলে নেওয়া দরকার ছিল আগে ঐদুর পর্যন্ত যাইতে পারতো না ছাতা লীগ আবার খেলা হবে, You should have taken the stick in your hands before he couldn't get to that far. The umbrella league will be played again.
"chomotkar ekjon manush,,,,,,,,,,like him",0,0,0,0,0,0,0,0,0," চমতকার একজন মানুষ,,,,লাইক তাকে", A wonderful man...like him.
Step down hasina 🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲,0,0,0,0,0,0,0,0,0,স্টেপ ডাউন হাসিনা🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲, Step Down Hasina🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲🤲
Sobar proti ektai request please keu r sohingshota purno kaj korben na😢😢,0,0,0,0,0,0,0,0,0,সবার প্রতি একটাই রিকোয়েস্ট প্লিজ কেউ আর সহজ সরল কাজ করবেন না😢😢," One request to everyone, please don't do simple things anymore.😢😢"
Chada ora pasa diya de,1,0,0,0,1,0,0,0,0,চাদা ওরা পাস দিয়া দে, Give them a pass.
Koto khaico mama,0,0,0,0,0,0,0,0,0,কত খাইছো মামা, How much you've eaten
Ki janoarer mto bebohar,1,0,0,0,1,0,0,0,0,কি জানার মত ব্যবহার, What to know behavior
Amder dabi amder k piriye de💪,0,0,0,0,0,0,0,0,0,আমাদের ছবি আমাদের কে তাড়িয়ে দে💪, Get our pictures out of us.💪
Allaha ae jibon tumi r kaore na dio .koe ase sami sontanera.ader jiboner kono nirapotta ase,0,0,0,0,0,0,0,0,0,আল্লাহ এই জীবন তুমি আর করে না দিও.কেউ আসে আমি সন্তানেরা.এদের জীবনের কোনো প্রতিদান আসে," God don't give this life anymore. Someone comes, I'm the children. Their lives have no reward."
Pathen pathen 😊😊😊😊,0,0,0,0,0,0,0,0,0,পাঠান পাঠান😊😊😊😊, sending😊😊😊😊
Ore desh aina bichar kora hok,0,0,0,0,0,0,0,0,0,ওরে দেশ আয় না বিচার করা হোক, Come to the country or judge him
Khonir news j channel prochar korbe tader k amra boycott korboo,0,0,0,0,0,0,0,0,0,কারো নিউজ যে চ্যানেল প্রচার করবে তাদের কে আমরা বয়কট করবো, We will boycott any channels that broadcast anyone's news
Khoma kore diye deoya darkar onake,0,0,0,0,0,0,0,0,0,খোমা করে দিয়ে দেওয়া দরকার ওকে, We need to give him a penalty.
Karfew keno jari kory studentder opor r kotu otachar korbi,0,0,0,0,0,0,0,0,0,কারফেও কেন জারি করে স্টুডেন্টদের উপর আর একটু অত্যাচার করবি, Why would you impose a curfew and torture the students a little more?
shob KHUNI der FASHI Chai,0,0,0,0,0,0,0,0,0,সব কুকি দের ফাঁসি চাই, I want all the cookies to be hanged.
"Poth thakte hobe to😂
Story ta jemon e perfect hok na keno ekhn..Sympathy pabena",0,0,0,0,0,0,0,0,0,পথ থাকতে হবে তো স্টোরি টা যেমন এ পারফেক্ট হোক না কেন এখন..সিম্পথি পাবে না😂," The way has to be, no matter how perfect the story is now...😂"
Zamal ture khujteci sala,1,0,0,0,1,0,0,0,0,জামাল থেকে খুজছি শালা, I'm looking for him from Jamal.
Ajonnoi boli ato komr kivabe dey,0,0,0,0,0,0,0,0,0,এজন্য বলি এত কম কিভাবে দেয়, That's why I'm saying how much less
Pagol hoie gese...😅,0,0,0,0,0,0,0,0,0,পাগল হয়ে গেছে...😅, He's crazy.😅
Gojobi hasinar choke ei gulo porena,1,0,0,0,1,0,0,0,0,গোজবি হাসিনার মুখে এই গুলো পরেনা, Gojbi Hasina doesn't wear these in her mouth
Bangla sinemar nikao feile tar kacee aitai digital Bangladesh 😂😂😂😂😂😂😂,0,0,0,0,0,0,0,0,0,বাংলা সিনামার নিকাও ফেইল তার কাছে এইটা ডিজিটাল বাংলাদেশ😂😂😂😂😂😂😂, Nikao failed in Bangla Cinema to him this is Digital Bangladesh😂😂😂😂😂😂😂
Tumi beda oskar prapto,0,0,0,0,0,0,0,0,0,তুমি বেদোস্কার প্রাপ্ত, You're rewarded.
Obaidul kaser k pitanor dorkar,1,0,0,0,1,0,0,0,0,ওবায়দুল কাদেরকে বোঝানোর দরকার, We need to convince Obaidullah Kader
"Salman muktadir hossa akta damna,ossiloter morol,ora ta ana ucit hoyni",1,0,0,0,1,0,0,0,0," সালমান মুক্তাদির হচ্ছে একটা দামনা,অসিলোটের মরল,ওরা টা আনা ঠিক হয়নি"," Salman Muktadir is a Damna, Osilot's dead, they shouldn't have brought it."
Oder to nunnotom gean nei somman ki dibe,0,0,0,0,0,0,0,0,0,ওদের তো নুনতম যান নেই সম্মান কি দিবে, They don't have the minimum vehicles to give honor.
Kotha gula sune Kanna aslo,0,0,0,0,0,0,0,0,0,কথা গুলা শুনে কান্না এলো, The words made me cry
Natok r koto,0,0,0,0,0,0,0,0,0,নাটক আর কত, How many more plays
Ami khamota lobi Abar cilassce.pap kore bro bro Kotha .des take akebare tosnos korce.sali batpar kothao jaygay hosse na Abar Abar fusslasse.dese an tora ayna ghore din katbe.,0,0,0,0,0,0,0,0,0,আমি দামটা লোবি আবার সিল্যাসসে।পাপ করে ব্রো ব্রো কথা.ডেস তাকে একেবার তোষামোদ করছে।সালি বাটপার কোথাও জায়গা হচ্ছে না আবার আবার ফুসলাসে।ডেস এ তোরা আসে না ধরে দিন কাটবে।, I'm Damta Lobby again in the Sylhet. He's sinning bro bro. Dess is flattering him again and again.
